# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:48:09
# label=flat360
# uptime_ms=2841158
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=4984 i2c_start_fails=4
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
2841261,975,-2125,-7325,2001,-1123,-7325,2294.6,330.70,342.91,-93,-1503,-7464,0,0,0,34.1335826,-118.1457296,1.19,0.00,1.27,17,1,3,0,1,0
2841361,982,-2195,-7370,2008,-1193,-7370,2335.7,329.28,341.50,-100,-1478,-7482,0,0,0,34.1335827,-118.1457296,1.36,0.00,1.27,17,1,3,0,1,0
2841461,922,-2195,-7357,1948,-1193,-7357,2284.3,328.52,340.73,-7,-1554,-7486,0,0,0,34.1335827,-118.1457296,0.39,0.00,1.27,17,1,3,0,1,0
2841561,912,-2212,-7347,1938,-1210,-7347,2284.7,328.02,340.24,76,-1591,-7477,0,0,0,34.1335830,-118.1457298,0.32,0.00,1.27,17,1,3,0,1,0
2841661,955,-2202,-7342,1981,-1200,-7342,2316.1,328.79,341.01,2,-1610,-7467,0,0,0,34.1335830,-118.1457298,0.57,0.00,1.27,17,1,3,0,1,0
2841761,1015,-2112,-7310,2041,-1110,-7310,2323.3,331.46,343.68,50,-1476,-7543,0,0,0,34.1335829,-118.1457298,0.39,0.00,1.27,17,1,3,0,1,0
2841861,917,-2207,-7347,1943,-1205,-7347,2286.3,328.19,340.41,53,-1596,-7482,0,0,0,34.1335831,-118.1457298,0.51,0.00,1.27,17,1,3,0,1,0
2841961,870,-2190,-7375,1896,-1188,-7375,2237.4,327.93,340.15,117,-1660,-7399,0,0,0,34.1335832,-118.1457298,0.75,0.00,1.27,17,1,3,0,1,0
2842061,932,-2217,-7315,1958,-1215,-7315,2304.3,328.18,340.40,39,-1537,-7532,0,0,0,34.1335836,-118.1457299,1.24,0.00,1.27,17,1,3,0,1,0
2842161,890,-2222,-7320,1916,-1220,-7320,2271.4,327.51,339.73,13,-1649,-7398,0,0,0,34.1335839,-118.1457301,0.61,0.00,1.27,17,1,3,0,1,0
