# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:49:07
# label=phone360
# uptime_ms=2898449
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=7736 i2c_start_fails=4
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
2898461,-2657,-2112,-7277,-1631,-1110,-7277,1972.9,214.24,226.45,-4,-5984,-4348,0,0,0,34.1335798,-118.1457029,0.10,0.00,1.32,16,1,3,0,1,0
2898561,-2652,-2190,-7237,-1626,-1188,-7237,2013.8,216.15,228.37,78,-6132,-4476,0,0,0,34.1335801,-118.1457029,0.22,0.00,1.32,16,1,3,0,1,0
2898661,-2685,-2197,-7227,-1659,-1195,-7227,2044.6,215.77,227.98,34,-6122,-4502,0,0,0,34.1335802,-118.1457031,0.33,0.00,1.32,16,1,3,0,1,0
2898761,-2647,-2217,-7175,-1621,-1215,-7175,2025.8,216.85,229.07,72,-6145,-4385,0,0,0,34.1335796,-118.1457040,0.26,0.00,1.32,16,1,3,0,1,0
2898861,-2680,-2212,-7212,-1654,-1210,-7212,2049.3,216.19,228.40,37,-6086,-4392,0,0,0,34.1335791,-118.1457047,0.66,0.00,1.32,16,1,3,0,1,0
2898961,-2712,-2247,-7222,-1686,-1245,-7222,2095.9,216.44,228.66,3,-6101,-4304,0,0,0,34.1335786,-118.1457051,0.46,0.00,1.38,15,1,3,0,1,0
2899061,-2637,-2252,-7167,-1611,-1250,-7167,2039.1,217.81,230.02,72,-6071,-4616,0,0,0,34.1335783,-118.1457052,0.65,0.00,1.38,15,1,3,0,1,0
2899161,-2717,-2242,-7195,-1691,-1240,-7195,2096.9,216.25,228.47,146,-6171,-4477,0,0,0,34.1335782,-118.1457054,0.14,0.00,1.38,15,1,3,0,1,0
2899261,-2647,-2252,-7175,-1621,-1250,-7175,2047.0,217.64,229.85,-31,-6024,-4357,0,0,0,34.1335783,-118.1457052,0.12,0.00,1.38,15,1,3,0,1,0
2899361,-2662,-2145,-7185,-1636,-1143,-7185,1995.7,214.94,227.16,72,-6074,-4319,0,0,0,34.1335783,-118.1457050,0.58,0.00,1.38,15,1,3,0,1,0
2899461,-2717,-2237,-7185,-1691,-1235,-7185,2094.0,216.14,228.36,90,-6154,-4423,0,0,0,34.1335782,-118.1457048,1.18,0.00,1.38,15,1,3,0,1,0
2899561,-2702,-2310,-7212,-1676,-1308,-7212,2126.0,217.97,230.19,67,-6130,-4447,0,0,0,34.1335781,-118.1457046,0.40,0.00,1.38,15,1,3,0,1,0
2899661,-2712,-2305,-7142,-1686,-1303,-7142,2130.8,217.70,229.91,7,-6120,-4345,0,0,0,34.1335781,-118.1457044,0.37,0.00,1.38,15,1,3,0,1,0
2899761,-2662,-2332,-7190,-1636,-1330,-7190,2108.4,219.11,231.33,-22,-6094,-4483,0,0,0,34.1335781,-118.1457042,0.52,0.00,1.38,15,1,3,0,1,0
2899861,-2670,-2382,-7162,-1644,-1380,-7162,2146.4,220.01,232.23,88,-6168,-4329,0,0,0,34.1335780,-118.1457040,0.38,0.00,1.38,15,1,3,0,1,0
