# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:51:06
# label=walk-straight
# uptime_ms=3017621
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=13462 i2c_start_fails=5
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3017661,1452,-2010,-7005,2478,-1008,-7005,2675.2,337.86,350.08,34,-926,-7527,0,0,0,34.1335509,-118.1456719,0.35,0.00,1.29,17,1,3,0,1,0
3017761,1320,-2097,-7142,2346,-1095,-7142,2589.0,334.98,347.20,-82,-959,-7565,0,0,0,34.1335506,-118.1456718,0.47,0.00,1.29,17,1,3,0,1,0
3017861,1367,-2087,-7102,2393,-1085,-7102,2627.5,335.61,347.83,202,-1073,-7702,0,0,0,34.1335502,-118.1456718,0.70,0.00,1.29,17,1,3,0,1,0
3017961,1307,-2072,-7130,2333,-1070,-7130,2566.7,335.36,347.58,1,-927,-7715,0,0,0,34.1335500,-118.1456718,0.68,0.00,1.29,17,1,3,0,1,0
3018061,1320,-2062,-7130,2346,-1060,-7130,2574.4,335.68,347.90,-123,-968,-7741,0,0,0,34.1335502,-118.1456717,0.52,0.00,1.29,17,1,3,0,1,0
3018161,1367,-2102,-7072,2393,-1100,-7072,2633.7,335.31,347.53,218,-906,-7420,0,0,0,34.1335509,-118.1456714,0.58,0.00,1.29,17,1,3,0,1,0
3018261,1335,-2117,-7140,2361,-1115,-7140,2611.0,334.72,346.94,67,-676,-7584,0,0,0,34.1335520,-118.1456709,0.20,0.00,1.29,17,1,3,0,1,0
3018361,1320,-2097,-7125,2346,-1095,-7125,2589.0,334.98,347.20,272,-933,-7764,0,0,0,34.1335542,-118.1456705,0.39,0.00,1.35,16,1,3,0,1,0
3018461,1312,-2117,-7130,2338,-1115,-7130,2590.3,334.50,346.72,158,-829,-7527,0,0,0,34.1335559,-118.1456701,0.83,0.00,1.35,16,1,3,0,1,0
3018561,1282,-2097,-7125,2308,-1095,-7125,2554.6,334.62,346.83,492,-1138,-7511,0,0,0,34.1335571,-118.1456699,1.07,0.00,1.35,16,1,3,0,1,0
3018661,1292,-2122,-7142,2318,-1120,-7142,2574.4,334.21,346.43,334,-1151,-7654,0,0,0,34.1335577,-118.1456698,0.64,0.00,1.35,16,1,3,0,1,0
3018761,1400,-2082,-7077,2426,-1080,-7077,2655.5,336.00,348.22,66,-925,-7798,0,0,0,34.1335579,-118.1456699,0.79,0.00,1.35,16,1,3,0,1,0
3018861,1395,-2062,-7105,2421,-1060,-7105,2642.9,336.35,348.57,89,-1197,-7224,0,0,0,34.1335571,-118.1456699,1.34,0.00,1.35,16,1,3,0,1,0
3018961,1415,-2057,-7120,2441,-1055,-7120,2659.2,336.63,348.84,179,-1388,-7564,0,0,0,34.1335565,-118.1456699,0.62,0.00,1.35,16,1,3,0,1,0
3019061,1457,-2005,-7102,2483,-1003,-7102,2677.9,338.00,350.22,37,-1621,-7624,0,0,0,34.1335564,-118.1456698,1.00,0.00,1.35,16,1,3,0,1,0
3019161,1447,-2055,-7105,2473,-1053,-7105,2687.9,336.94,349.15,36,-1220,-7548,0,0,0,34.1335562,-118.1456697,0.88,0.00,1.35,16,1,3,0,1,0
3019261,1382,-2125,-7110,2408,-1123,-7110,2657.0,335.00,347.21,34,-1468,-7379,0,0,0,34.1335553,-118.1456701,1.23,0.00,1.33,17,1,3,0,1,0
3019361,1395,-2165,-7120,2421,-1163,-7120,2685.9,334.34,346.56,492,-731,-8522,0,0,0,34.1335544,-118.1456703,1.12,344.97,1.33,17,1,3,0,1,0
3019461,1410,-2170,-7092,2436,-1168,-7092,2701.5,334.38,346.60,80,-1083,-7871,0,0,0,34.1335534,-118.1456705,0.55,0.00,1.33,17,1,3,0,1,0
3019561,1335,-2202,-7175,2361,-1200,-7175,2648.5,333.06,345.27,-189,-381,-7504,0,0,0,34.1335529,-118.1456704,1.37,0.00,1.33,17,1,3,0,1,0
3019661,1232,-2222,-7152,2258,-1220,-7152,2566.5,331.62,343.83,-326,-872,-7388,0,0,0,34.1335528,-118.1456701,3.69,22.42,1.33,17,1,3,0,1,0
3019761,1255,-2190,-7152,2281,-1188,-7152,2571.8,332.49,344.70,-666,-955,-7338,0,0,0,34.1335524,-118.1456701,2.78,12.62,1.33,17,1,3,0,1,0
3019861,1245,-2185,-7180,2271,-1183,-7180,2560.7,332.48,344.70,158,-1359,-7094,0,0,0,34.1335515,-118.1456704,0.37,0.00,1.33,17,1,3,0,1,0
3019961,1315,-2117,-7152,2341,-1115,-7152,2593.0,334.53,346.75,-173,-1513,-7326,0,0,0,34.1335526,-118.1456704,1.98,0.00,1.33,17,1,3,0,1,0
3020061,1372,-2072,-7092,2398,-1070,-7092,2625.9,335.95,348.17,-293,-984,-8046,0,0,0,34.1335543,-118.1456703,1.28,0.00,1.33,17,1,3,0,1,0
3020161,1312,-2077,-7157,2338,-1075,-7157,2573.3,335.31,347.52,-386,-1131,-7392,0,0,0,34.1335559,-118.1456703,0.94,0.00,1.33,17,1,3,0,1,0
