# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:52:58
# label=walk-straight
# uptime_ms=3130217
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=18895 i2c_start_fails=7
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3130261,-2230,-1730,-7227,-1204,-728,-7227,1407.0,211.16,223.38,-603,-6496,-4511,0,0,0,34.1342793,-118.1457388,1.30,0.00,1.34,17,1,3,0,1,0
3130361,-2215,-1775,-7180,-1189,-773,-7180,1418.2,213.03,225.25,-452,-6110,-4072,0,0,0,34.1342796,-118.1457389,1.43,0.00,1.44,16,1,3,0,1,0
3130461,-2320,-1745,-7167,-1294,-743,-7167,1492.1,209.86,222.08,154,-6117,-3664,0,0,0,34.1342799,-118.1457391,1.11,344.17,1.44,16,1,3,0,1,0
3130561,-2325,-1657,-7175,-1299,-655,-7175,1454.8,206.76,218.97,191,-6162,-4157,0,0,0,34.1342804,-118.1457393,1.50,343.94,1.44,16,1,3,0,1,0
3130661,-2262,-1562,-7227,-1236,-560,-7227,1356.9,204.37,216.59,-451,-6435,-4307,0,0,0,34.1342809,-118.1457395,0.87,345.82,1.34,17,1,3,0,1,0
3130761,-2257,-1605,-7270,-1231,-603,-7270,1370.8,206.10,218.31,1216,-6303,-5784,0,0,0,34.1342813,-118.1457397,1.02,347.34,1.34,17,1,3,0,1,0
3130861,-2177,-1585,-7212,-1151,-583,-7212,1290.2,206.86,219.08,-107,-5557,-3646,0,0,0,34.1342818,-118.1457399,1.06,343.27,1.34,17,1,3,0,1,0
3130961,-2207,-1552,-7212,-1181,-550,-7212,1302.8,204.97,217.19,607,-5821,-4593,0,0,0,34.1342823,-118.1457401,1.59,344.70,1.34,17,1,3,0,1,0
3131061,-2315,-1615,-7130,-1289,-613,-7130,1427.3,205.43,217.65,9,-5874,-3505,0,0,0,34.1342832,-118.1457401,1.57,350.77,1.34,17,1,3,0,1,0
3131161,-2332,-1707,-7167,-1306,-705,-7167,1484.1,208.36,220.58,297,-6468,-3798,0,0,0,34.1342844,-118.1457399,1.78,2.77,1.34,17,1,3,0,1,0
3131261,-2327,-1682,-7185,-1301,-680,-7185,1468.0,207.59,219.81,588,-7496,-4172,0,0,0,34.1342857,-118.1457399,1.80,6.62,1.34,17,1,3,0,1,0
3131361,-2020,-1692,-7287,-994,-690,-7287,1210.0,214.77,226.98,149,-5567,-6199,0,0,0,34.1342867,-118.1457399,1.09,2.22,1.34,17,1,3,0,1,0
3131461,-1950,-1580,-7310,-924,-578,-7310,1089.9,212.03,224.24,-229,-4996,-5235,0,0,0,34.1342878,-118.1457399,1.76,352.72,1.34,17,1,3,0,1,0
3131561,-1775,-1542,-7347,-749,-540,-7347,923.4,215.79,228.01,-261,-4456,-4917,0,0,0,34.1342894,-118.1457399,1.88,356.29,1.34,17,1,3,0,1,0
3131661,-1720,-1527,-7370,-694,-525,-7370,870.2,217.11,229.32,472,-4989,-4793,0,0,0,34.1342905,-118.1457399,1.40,358.82,1.34,17,1,3,0,1,0
3131761,-1780,-1407,-7445,-754,-405,-7445,855.9,208.24,220.46,50,-5486,-5440,0,0,0,34.1342917,-118.1457397,0.99,0.00,1.34,17,1,3,0,1,0
3131861,-1725,-1365,-7352,-699,-363,-7352,787.6,207.44,219.66,0,-7133,-5579,0,0,0,34.1342925,-118.1457397,1.31,0.00,1.34,17,1,3,0,1,0
3131961,-1925,-1237,-7367,-899,-235,-7367,929.2,194.65,206.87,1452,-5711,-7186,0,0,0,34.1342935,-118.1457397,0.99,0.00,1.34,17,1,3,0,1,0
3132061,-1987,-1340,-7277,-961,-338,-7277,1018.7,199.38,211.59,-852,-5178,-3213,0,0,0,34.1342946,-118.1457396,1.52,359.05,1.34,17,1,3,0,1,0
3132161,-2160,-1305,-7320,-1134,-303,-7320,1173.8,194.96,207.18,262,-6226,-6479,0,0,0,34.1342959,-118.1457399,2.34,353.30,1.34,17,1,3,0,1,0
3132261,-2755,-1507,-7087,-1729,-505,-7087,1801.2,196.28,208.50,310,-6377,-5121,0,0,0,34.1342972,-118.1457399,1.72,358.81,1.34,17,1,3,0,1,0
3132361,-3440,-1730,-6707,-2414,-728,-6707,2521.4,196.78,209.00,-530,-5491,-2059,0,0,0,34.1342981,-118.1457399,0.96,14.55,1.34,17,1,3,0,1,0
3132461,-3772,-1775,-6492,-2746,-773,-6492,2852.7,195.72,207.94,-1255,-6824,-1369,0,0,0,34.1342991,-118.1457400,0.81,18.63,1.34,17,1,3,0,1,0
3132561,-3937,-1677,-6455,-2911,-675,-6455,2988.2,193.05,205.27,-20,-7381,-2291,0,0,0,34.1342998,-118.1457403,1.37,347.74,1.34,17,1,3,0,1,0
3132661,-3735,-1730,-6577,-2709,-728,-6577,2805.1,195.04,207.26,214,-5771,-2187,0,0,0,34.1343004,-118.1457406,1.18,337.28,1.34,17,1,3,0,1,0
3132761,-3777,-1580,-6580,-2751,-578,-6580,2811.1,191.87,204.08,701,-6087,-2888,0,0,0,34.1343009,-118.1457408,1.62,331.31,1.34,17,1,3,0,1,0
3132861,-3750,-1552,-6580,-2724,-550,-6580,2779.0,191.42,203.63,305,-7011,-1625,0,0,0,34.1343016,-118.1457412,1.81,319.73,1.34,17,1,3,0,1,0
3132961,-3725,-1572,-6622,-2699,-570,-6622,2758.5,191.93,204.14,918,-8668,-4392,0,0,0,34.1343022,-118.1457415,1.83,329.30,1.34,17,1,3,0,1,0
3133061,-3702,-1475,-6660,-2676,-473,-6660,2717.5,190.02,202.24,743,-7782,-4874,0,0,0,34.1343027,-118.1457417,1.75,327.13,1.34,17,1,3,0,1,0
3133161,-3645,-1572,-6655,-2619,-570,-6655,2680.3,192.28,204.49,-891,-6246,-1441,0,0,0,34.1343033,-118.1457417,1.87,340.59,1.34,17,1,3,0,1,0
3133261,-3562,-1610,-6730,-2536,-608,-6730,2607.9,193.48,205.70,718,-5861,-3463,0,0,0,34.1343034,-118.1457416,1.90,0.29,1.34,17,1,3,0,1,0
3133361,-3570,-1677,-6642,-2544,-675,-6642,2632.0,194.86,207.08,-46,-6368,-2145,0,0,0,34.1343039,-118.1457414,1.72,3.42,1.34,17,1,3,0,1,0
3133461,-3525,-1750,-6660,-2499,-748,-6660,2608.5,196.66,208.88,22,-6995,-1961,0,0,0,34.1343043,-118.1457416,1.61,358.12,1.34,17,1,3,0,1,0
3133561,-3407,-1712,-6747,-2381,-710,-6747,2484.6,196.60,208.82,-540,-8802,-2940,0,0,0,34.1343054,-118.1457419,2.31,343.14,1.34,17,1,3,0,1,0
3133661,-3177,-1532,-6942,-2151,-530,-6942,2215.3,193.84,206.06,91,-7130,-3219,0,0,0,34.1343066,-118.1457419,2.42,357.63,1.34,17,1,3,0,1,0
3133762,-2895,-1455,-7022,-1869,-453,-7022,1923.1,193.62,205.84,-48,-5217,-4956,0,0,0,34.1343080,-118.1457418,2.43,358.09,1.34,17,1,3,0,1,0
3133861,-2567,-1547,-7190,-1541,-545,-7190,1634.5,199.48,211.69,428,-5378,-3358,0,0,0,34.1343080,-118.1457418,2.43,358.09,1.34,17,1,3,0,1,0
3133961,-2132,-1647,-7265,-1106,-645,-7265,1280.3,210.25,222.47,144,-5326,-4064,0,0,0,34.1343114,-118.1457411,3.14,356.27,1.34,17,1,3,0,1,0
3134061,-1802,-1465,-7375,-776,-463,-7375,903.6,210.82,223.04,-74,-6212,-6974,0,0,0,34.1343130,-118.1457405,2.93,354.81,1.34,17,1,3,0,1,0
3134161,-1465,-1360,-7400,-439,-358,-7400,566.5,219.20,231.41,644,-5491,-8145,0,0,0,34.1343142,-118.1457402,3.99,353.03,1.34,17,1,3,0,1,0
3134261,-1425,-1242,-7505,-399,-240,-7505,465.6,211.03,223.24,44,-4501,-5362,0,0,0,34.1343159,-118.1457401,3.10,350.87,1.34,17,1,3,0,1,0
3134361,-1165,-1195,-7502,-139,-193,-7502,237.8,234.24,246.45,540,-3818,-6356,0,0,0,34.1343169,-118.1457400,1.97,357.62,1.34,17,1,3,0,1,0
3134461,-1190,-1350,-7445,-164,-348,-7445,384.7,244.77,256.98,-463,-4732,-5963,0,0,0,34.1343179,-118.1457398,2.14,356.99,1.34,17,1,3,0,1,0
3134561,-1245,-1437,-7510,-219,-435,-7510,487.0,243.28,255.49,710,-5363,-6588,0,0,0,34.1343189,-118.1457396,2.02,1.88,1.34,17,1,3,0,1,0
3134661,-1095,-1340,-7497,-69,-338,-7497,345.0,258.46,270.68,243,-4654,-8439,0,0,0,34.1343199,-118.1457394,0.97,7.70,1.34,17,1,3,0,1,0
3134761,-1180,-1345,-7497,-154,-343,-7497,376.0,245.82,258.04,-563,-5401,-5199,0,0,0,34.1343211,-118.1457394,1.52,7.63,1.34,17,1,3,0,1,0
3134862,-1250,-1195,-7502,-224,-193,-7502,295.7,220.75,232.96,586,-2590,-6465,0,0,0,34.1343225,-118.1457391,2.44,3.33,1.34,17,1,3,0,1,0
3134961,-1312,-1282,-7440,-286,-280,-7440,400.2,224.39,236.61,-100,-4152,-4343,0,0,0,34.1343239,-118.1457389,3.49,6.35,1.34,17,1,3,0,1,0
3135061,-1560,-1330,-7477,-534,-328,-7477,626.7,211.56,223.78,-9,-4745,-5003,0,0,0,34.1343252,-118.1457388,1.65,2.16,1.34,17,1,3,0,1,0
3135161,-1677,-1397,-7427,-651,-395,-7427,761.5,211.25,223.46,205,-5847,-7351,0,0,0,34.1343265,-118.1457392,1.54,344.55,1.34,17,1,3,0,1,0
3135261,-1587,-1335,-7390,-561,-333,-7390,652.4,210.69,222.91,1384,-5562,-7352,0,0,0,34.1343267,-118.1457395,0.95,329.29,1.34,17,1,3,0,1,0
3135362,-1452,-1340,-7395,-426,-338,-7395,543.8,218.43,230.65,1,-4531,-3827,0,0,0,34.1343273,-118.1457398,1.59,325.19,1.34,17,1,3,0,1,0
3135461,-1415,-1377,-7450,-389,-375,-7450,540.3,223.95,236.17,517,-4344,-5308,0,0,0,34.1343281,-118.1457400,1.66,331.24,1.34,17,1,3,0,1,0
3135561,-1725,-1392,-7337,-699,-390,-7337,800.4,209.16,221.38,-406,-4989,-3777,0,0,0,34.1343287,-118.1457400,1.89,343.38,1.34,17,1,3,0,1,0
3135661,-1877,-1567,-7310,-851,-565,-7310,1021.5,213.58,225.80,400,-5901,-5889,0,0,0,34.1343295,-118.1457402,1.63,352.06,1.34,17,1,3,0,1,0
3135761,-1840,-1527,-7305,-814,-525,-7305,968.6,212.82,225.04,6,-7073,-6152,0,0,0,34.1343302,-118.1457400,1.65,19.70,1.34,17,1,3,0,1,0
3135861,-1870,-1475,-7305,-844,-473,-7305,967.5,209.27,221.48,413,-5647,-4697,0,0,0,34.1343309,-118.1457400,2.35,13.37,1.34,17,1,3,0,1,0
3135961,-1742,-1552,-7320,-716,-550,-7320,902.9,217.53,229.75,-165,-3021,-5690,0,0,0,34.1343317,-118.1457400,2.39,12.63,1.34,17,1,3,0,1,0
3136061,-1827,-1495,-7320,-801,-493,-7320,940.6,211.61,223.83,337,-4684,-4511,0,0,0,34.1343323,-118.1457401,2.70,359.52,1.34,17,1,3,0,1,0
3136161,-2015,-1505,-7277,-989,-503,-7277,1109.6,206.96,219.17,-116,-5267,-4509,0,0,0,34.1343330,-118.1457400,2.16,357.45,1.34,17,1,3,0,1,0
3136261,-2057,-1470,-7292,-1031,-468,-7292,1132.2,204.41,216.63,-194,-6885,-5791,0,0,0,34.1343334,-118.1457395,3.09,7.52,1.34,17,1,3,0,1,0
3136361,-1915,-1190,-7330,-889,-188,-7330,908.7,191.94,204.16,1567,-5807,-7873,0,0,0,34.1343336,-118.1457388,3.53,13.40,1.34,17,1,3,0,1,0
