# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:54:47
# label=stand-still
# uptime_ms=3239253
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=24125 i2c_start_fails=8
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3239261,1395,-1355,-6875,2421,-353,-6875,2446.6,351.70,3.92,-6,-956,-7535,0,0,0,0,0,0.56,0.00,1.44,16,1,3,0,1,0
3239361,1307,-1532,-6870,2333,-530,-6870,2392.4,347.20,359.42,-46,-976,-7590,0,0,0,0,0,0.72,0.00,1.44,16,1,3,0,1,0
3239461,1292,-1697,-6930,2318,-695,-6930,2419.9,343.31,355.53,34,-981,-7509,0,0,0,0,0,0.57,0.00,1.44,16,1,3,0,1,0
3239561,1362,-1822,-6957,2388,-820,-6957,2524.9,341.05,353.26,-33,-946,-7654,0,0,0,0,0,0.72,0.00,1.52,15,1,3,0,1,0
3239661,1307,-1567,-6907,2333,-565,-6907,2400.4,346.39,358.60,-42,-880,-7646,0,0,0,0,0,0.05,0.00,1.44,16,1,3,0,1,0
3239761,1330,-1755,-6952,2356,-753,-6952,2473.4,342.28,354.49,-49,-940,-7589,0,0,0,0,0,0.26,0.00,1.44,16,1,3,0,1,0
3239861,1312,-1942,-6940,2338,-940,-6940,2519.9,338.10,350.31,-104,-885,-7556,0,0,0,0,0,0.19,0.00,1.44,16,1,3,0,1,0
3239961,1292,-1600,-6910,2318,-598,-6910,2393.9,345.53,357.75,-127,-890,-7567,0,0,0,0,0,0.17,0.00,1.44,16,1,3,0,1,0
3240062,1312,-1792,-6877,2338,-790,-6877,2467.9,341.33,353.55,0,-971,-7653,0,0,0,0,0,0.45,0.00,1.44,16,1,3,0,1,0
3240161,1350,-1890,-6980,2376,-888,-6980,2536.5,339.51,351.72,-52,-1002,-7596,0,0,0,0,0,0.30,0.00,1.44,16,1,3,0,1,0
3240261,1275,-1532,-6907,2301,-530,-6907,2361.2,347.03,359.25,-65,-975,-7544,0,0,0,0,0,0.19,0.00,1.44,16,1,3,0,1,0
3240361,1287,-1712,-6915,2313,-710,-6915,2419.5,342.94,355.15,-30,-1012,-7579,0,0,0,0,0,0.56,0.00,1.44,16,1,3,0,1,0
3240461,1275,-1895,-6930,2301,-893,-6930,2468.2,338.79,351.01,-14,-963,-7572,0,0,0,0,0,0.66,0.00,1.44,16,1,3,0,1,0
3240561,1325,-1645,-6897,2351,-643,-6897,2437.3,344.70,356.92,-145,-915,-7508,0,0,0,0,0,0.55,0.00,1.44,16,1,3,0,1,0
3240661,1275,-1750,-6935,2301,-748,-6935,2419.5,341.99,354.21,-123,-971,-7558,0,0,0,0,0,0.92,0.00,1.44,16,1,3,0,1,0
3240761,1307,-1522,-6877,2333,-520,-6877,2390.2,347.43,359.65,-52,-1004,-7530,0,0,0,0,0,0.32,0.00,1.44,16,1,3,0,1,0
3240861,1292,-1557,-6920,2318,-555,-6920,2383.5,346.54,358.75,-53,-1115,-7474,0,0,0,0,0,0.31,0.00,1.44,16,1,3,0,1,0
3240961,1282,-1682,-6887,2308,-680,-6887,2406.1,343.58,355.80,-124,-1033,-7687,0,0,0,0,0,0.35,0.00,1.44,16,1,3,0,1,0
3241061,1312,-1860,-6967,2338,-858,-6967,2490.5,339.85,352.06,-6,-1008,-7551,0,0,0,0,0,0.32,0.00,1.44,16,1,3,0,1,0
3241161,1275,-1702,-6870,2301,-700,-6870,2405.1,343.08,355.30,-84,-1022,-7572,0,0,0,0,0,0.58,0.00,1.44,16,1,3,0,1,0
3241261,1312,-1745,-6947,2338,-743,-6947,2453.2,342.37,354.59,-167,-989,-7500,0,0,0,0,0,0.10,0.00,1.44,16,1,3,0,1,0
3241361,1275,-2010,-6942,2301,-1008,-6942,2512.1,336.34,348.56,-164,-916,-7591,0,0,0,0,0,0.14,0.00,1.44,16,1,3,0,1,0
3241461,1270,-1687,-6930,2296,-685,-6930,2396.0,343.39,355.60,-83,-947,-7571,0,0,0,0,0,0.19,0.00,1.44,16,1,3,0,1,0
3241561,1232,-1822,-6942,2258,-820,-6942,2402.3,340.04,352.26,25,-1009,-7467,0,0,0,0,0,0.36,0.00,1.44,16,1,3,0,1,0
