# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:56:09
# label=disturbance
# uptime_ms=3321231
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=28060 i2c_start_fails=8
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3321261,1245,-1807,-6975,2271,-805,-6975,2409.5,340.48,352.70,-798,-2507,-8543,0,0,0,34.1352102,-118.1457495,0.08,0.00,1.73,13,1,3,0,1,0
3321361,1335,-1957,-6882,2361,-955,-6882,2546.8,337.98,350.19,-642,-846,-9481,0,0,0,34.1352105,-118.1457495,0.03,0.00,1.73,13,1,3,0,1,0
3321461,1255,-1852,-6907,2281,-850,-6907,2434.2,339.56,351.78,-583,-1500,-6388,0,0,0,34.1352110,-118.1457494,1.12,0.00,1.73,13,1,3,0,1,0
3321561,1275,-1770,-6910,2301,-768,-6910,2425.8,341.54,353.76,-516,-504,-6535,0,0,0,34.1352114,-118.1457494,0.39,0.00,1.59,15,1,3,0,1,0
3321661,1250,-1837,-6947,2276,-835,-6947,2424.3,339.85,352.07,-58,-1630,-6499,0,0,0,34.1352123,-118.1457495,0.85,0.00,1.59,15,1,3,0,1,0
3321761,1292,-1817,-6925,2318,-815,-6925,2457.1,340.63,352.84,-425,-1707,-7304,0,0,0,34.1352127,-118.1457496,1.10,0.53,1.53,16,1,3,0,1,0
3321861,1362,-1787,-6882,2388,-785,-6882,2513.7,341.80,354.02,-591,-1862,-9506,0,0,0,34.1352133,-118.1457497,0.97,353.28,1.53,16,1,3,0,1,0
3321961,1292,-1652,-6860,2318,-650,-6860,2407.4,344.34,356.55,427,-1245,-9435,0,0,0,34.1352140,-118.1457499,1.78,351.35,1.53,16,1,3,0,1,0
3322061,1275,-1630,-6967,2301,-628,-6967,2385.2,344.73,356.95,-501,-521,-5965,0,0,0,34.1352145,-118.1457500,1.69,353.80,1.53,16,1,3,0,1,0
3322161,1240,-1557,-6962,2266,-555,-6962,2333.0,346.24,358.45,492,-1200,-7154,0,0,0,34.1352149,-118.1457499,1.36,351.88,1.53,16,1,3,0,1,0
3322261,1105,-1662,-7000,2131,-660,-7000,2230.9,342.79,355.01,-589,-2132,-5763,0,0,0,34.1352151,-118.1457499,2.16,341.33,1.45,17,1,3,0,1,0
3322362,1035,-1750,-7017,2061,-748,-7017,2192.5,340.05,352.27,-1685,-2570,-7626,0,0,0,34.1352152,-118.1457501,1.77,340.22,1.45,17,1,3,0,1,0
3322461,997,-1905,-6980,2023,-903,-6980,2215.4,335.95,348.16,-1090,-2906,-8485,0,0,0,34.1352154,-118.1457503,1.36,337.11,1.41,18,1,3,0,1,0
3322561,982,-2102,-6967,2008,-1100,-6967,2289.6,331.29,343.50,250,-1270,-6365,0,0,0,34.1352157,-118.1457505,2.01,320.99,1.41,18,1,3,0,1,0
