# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:57:08
# label=freeform
# uptime_ms=3379889
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=30880 i2c_start_fails=8
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3379961,-200,-3342,-6800,826,-2340,-6800,2481.5,289.44,301.66,-5142,-4849,-5783,0,0,0,34.1356024,-118.1457550,0.96,0.00,1.66,15,1,3,0,1,0
3380061,332,-2927,-6882,1358,-1925,-6882,2355.8,305.20,317.42,-2215,-2364,-7346,0,0,0,34.1356025,-118.1457546,0.41,0.00,1.73,14,1,3,0,1,0
3380161,557,-2825,-6897,1583,-1823,-6897,2414.4,310.97,323.19,-170,-2560,-7643,0,0,0,34.1356026,-118.1457541,0.22,0.00,1.73,14,1,3,0,1,0
3380261,332,-2270,-7142,1358,-1268,-7142,1858.0,316.96,329.18,-1070,-2345,-8373,0,0,0,34.1356029,-118.1457543,1.25,0.00,1.80,14,1,3,0,1,0
3380361,815,-1097,-7195,1841,-95,-7195,1843.4,357.05,9.26,48,-2986,-7249,0,0,0,34.1356028,-118.1457542,1.22,0.00,1.66,15,1,3,0,1,0
3380461,1682,-1277,-6850,2708,-275,-6850,2721.9,354.20,6.42,522,-2356,-5038,0,0,0,34.1356025,-118.1457542,1.30,0.00,1.66,15,1,3,0,1,0
3380561,3200,-345,-5680,4226,657,-5680,4276.8,8.84,21.05,1788,175,-5426,0,0,0,34.1356024,-118.1457542,1.35,0.00,1.66,15,1,3,0,1,0
3380661,2075,2087,-5502,3101,3089,-5502,4377.0,44.89,57.11,8931,1836,-8754,0,0,0,34.1356025,-118.1457542,1.24,0.00,1.66,15,1,3,0,1,0
3380761,-1052,3867,-3972,-26,4869,-3972,4869.1,90.31,102.52,10473,-4760,-5874,0,0,0,34.1356026,-118.1457541,2.26,0.00,1.66,15,1,3,0,1,0
3380861,-3617,3207,-2402,-2591,4209,-2402,4942.6,121.62,133.83,6521,-6740,-3071,0,0,0,34.1356026,-118.1457539,3.02,47.80,1.66,15,1,3,0,1,0
3380961,-5090,962,-660,-4064,1964,-660,4513.7,154.21,166.42,2760,-6314,-900,0,0,0,34.1356025,-118.1457536,2.19,51.50,1.77,14,1,3,0,1,0
3381061,-3847,-2497,1462,-2821,-1495,1462,3192.7,207.92,220.14,-1191,-3067,1580,0,0,0,34.1356024,-118.1457532,1.06,63.64,1.77,14,1,3,0,1,0
3381161,-1490,-3302,2230,-464,-2300,2230,2346.3,258.59,270.81,-1615,-876,3224,0,0,0,34.1356003,-118.1457545,0.72,271.41,1.77,14,1,3,0,1,0
3381261,-1335,-1702,2647,-309,-700,2647,765.2,246.18,258.40,-3661,-756,7534,0,0,0,34.1355968,-118.1457558,1.42,165.33,1.77,14,1,3,0,1,0
3381361,-1462,-410,2545,-436,592,2545,735.2,126.37,138.59,-1734,-697,11382,0,0,0,34.1355961,-118.1457559,1.15,172.64,1.66,15,1,3,0,1,0
3381461,-3007,1485,1365,-1981,2487,1365,3179.5,128.54,140.75,1414,-1823,12684,0,0,0,34.1355951,-118.1457561,1.27,200.67,1.66,15,1,3,0,1,0
3381561,-4132,2695,-2382,-3106,3697,-2382,4828.6,130.03,142.25,5057,-4830,10273,0,0,0,34.1355938,-118.1457561,1.50,186.29,1.51,16,1,3,0,1,0
3381661,-3200,1677,-5952,-2174,2679,-5952,3450.1,129.06,141.28,8584,-7315,3342,0,0,0,34.1355921,-118.1457570,1.85,224.33,1.51,16,1,3,0,1,0
3381761,-225,-105,-7315,801,897,-7315,1202.6,48.24,60.45,5691,-2724,-1627,0,0,0,34.1355916,-118.1457575,1.19,274.09,1.51,16,1,3,0,1,0
3381861,2352,-1417,-6372,3378,-415,-6372,3403.4,353.00,5.21,1982,-982,-3917,0,0,0,34.1355917,-118.1457565,1.05,0.00,1.51,16,1,3,0,1,0
3381961,3960,-1692,-4387,4986,-690,-4387,5033.5,352.12,4.34,914,4245,-2041,0,0,0,34.1355911,-118.1457554,0.93,49.27,1.51,16,1,3,0,1,0
3382061,4452,-842,-2642,5478,160,-2642,5480.3,1.67,13.89,2834,4994,-975,0,0,0,34.1355910,-118.1457544,1.94,52.70,1.51,16,1,3,0,1,0
3382161,4170,272,-1100,5196,1274,-1100,5349.9,13.78,25.99,5039,8191,-381,0,0,0,34.1355908,-118.1457537,1.96,45.05,1.51,16,1,3,0,1,0
3382261,3017,2197,-817,4043,3199,-817,5155.5,38.35,50.57,9082,5784,-1698,0,0,0,34.1355915,-118.1457532,2.36,36.91,1.51,16,1,3,0,1,0
3382361,242,3737,-822,1268,4739,-822,4905.7,75.02,87.24,13367,1919,-2538,0,0,0,34.1355924,-118.1457521,2.28,28.12,1.51,16,1,3,0,1,0
3382461,-2792,3120,-467,-1766,4122,-467,4484.4,113.19,125.41,10626,-4345,-1222,0,0,0,34.1355927,-118.1457516,2.37,8.08,1.51,16,1,3,0,1,0
3382561,-5047,462,-240,-4021,1464,-240,4279.2,159.99,172.21,5831,-7274,142,0,0,0,34.1355932,-118.1457510,2.03,0.41,1.51,16,1,3,0,1,0
3382661,-5090,-2400,195,-4064,-1398,195,4297.7,198.98,211.20,1940,-5848,-401,0,0,0,34.1355935,-118.1457501,0.63,2.22,1.51,16,1,3,0,1,0
3382761,-3500,-3842,1165,-2474,-2840,1165,3766.5,228.94,241.16,-2861,-3150,1880,0,0,0,34.1355934,-118.1457500,0.36,0.00,1.51,16,1,3,0,1,0
3382861,-1582,-3695,1992,-556,-2693,1992,2749.8,258.33,270.55,-5251,367,3956,0,0,0,34.1355929,-118.1457502,0.94,0.00,1.51,16,1,3,0,1,0
3382961,-1232,-2860,2425,-206,-1858,2425,1869.4,263.67,275.89,-5009,165,5893,0,0,0,34.1355929,-118.1457486,0.93,0.00,1.51,16,1,3,0,1,0
3383061,-2192,-1932,2452,-1166,-930,2452,1491.5,218.58,230.79,-4236,1902,7670,0,0,0,34.1355932,-118.1457467,1.14,202.55,1.51,16,1,3,0,1,0
3383161,-3237,-1045,2035,-2211,-43,2035,2211.4,181.11,193.33,-3270,-507,9187,0,0,0,34.1355930,-118.1457456,0.98,191.85,1.51,16,1,3,0,1,0
3383261,-4662,-822,915,-3636,180,915,3640.5,177.17,189.38,-501,-3694,9593,0,0,0,34.1355923,-118.1457458,0.59,204.32,1.51,16,1,3,0,1,0
3383361,-5802,-872,-1635,-4776,130,-1635,4777.8,178.44,190.66,1072,-7859,9507,0,0,0,34.1355905,-118.1457452,1.36,216.13,1.51,16,1,3,0,1,0
3383461,-5112,-1012,-4982,-4086,-10,-4982,4086.0,180.14,192.36,1046,-8360,5129,0,0,0,34.1355887,-118.1457449,2.17,220.46,1.48,17,1,3,0,1,0
3383561,-2422,-852,-7140,-1396,150,-7140,1404.0,173.87,186.08,665,-7381,1339,0,0,0,34.1355877,-118.1457452,2.25,222.80,1.48,17,1,3,0,1,0
3383661,917,-882,-7125,1943,120,-7125,1946.7,3.53,15.75,1515,-4204,-2265,0,0,0,34.1355867,-118.1457455,1.74,0.00,1.48,17,1,3,0,1,0
3383761,3355,-1600,-5437,4381,-598,-5437,4421.6,352.23,4.44,2603,4236,-3614,0,0,0,34.1355862,-118.1457456,0.17,0.00,1.48,17,1,3,0,1,0
3383861,4232,-1372,-3955,5258,-370,-3955,5271.0,355.97,8.19,3791,4273,-1412,0,0,0,34.1355864,-118.1457456,1.55,0.00,1.48,17,1,3,0,1,0
3383961,4457,-505,-2840,5483,497,-2840,5505.5,5.18,17.40,4948,7651,-2139,0,0,0,34.1355866,-118.1457458,1.86,0.00,1.48,17,1,3,0,1,0
3384061,3870,1552,-2932,4896,2554,-2932,5522.1,27.55,39.77,8539,7181,-4124,0,0,0,34.1355869,-118.1457461,2.08,58.64,1.48,17,1,3,0,1,0
3384161,1147,3800,-2857,2173,4802,-2857,5270.8,65.65,77.87,14034,357,-3094,0,0,0,34.1355873,-118.1457456,1.46,56.92,1.48,17,1,3,0,1,0
3384261,-2895,3597,-2225,-1869,4599,-2225,4964.3,112.12,124.33,10458,-7029,-1024,0,0,0,34.1355875,-118.1457454,1.01,35.76,1.48,17,1,3,0,1,0
3384361,-5197,1267,-2030,-4171,2269,-2030,4748.2,151.45,163.67,5810,-7384,1248,0,0,0,34.1355877,-118.1457456,0.46,357.99,1.48,17,1,3,0,1,0
3384461,-5675,-1982,-1640,-4649,-980,-1640,4751.2,191.90,204.12,1057,-6013,2189,0,0,0,34.1355874,-118.1457465,2.02,320.71,1.48,17,1,3,0,1,0
3384561,-4565,-4687,-1537,-3539,-3685,-1537,5109.2,226.16,238.37,-3135,-2829,3256,0,0,0,34.1355870,-118.1457473,2.10,304.45,1.48,17,1,3,0,1,0
3384661,-2357,-5922,-1127,-1331,-4920,-1127,5096.9,254.86,267.08,-2693,1668,2140,0,0,0,34.1355859,-118.1457469,3.18,0.00,1.48,17,1,3,0,1,0
3384761,-1465,-5895,-305,-439,-4893,-305,4912.7,264.87,277.09,-4209,2868,4559,0,0,0,34.1355846,-118.1457455,4.81,150.85,1.48,17,1,3,0,1,0
3384861,-3225,-4650,467,-2199,-3648,467,4259.5,238.92,251.13,-2117,32,9180,0,0,0,34.1355828,-118.1457433,1.34,127.71,1.48,17,1,3,0,1,0
3384961,-5470,-2305,-760,-4444,-1303,-760,4631.1,196.34,208.56,-863,-5034,10826,0,0,0,34.1355823,-118.1457421,3.06,89.42,1.48,17,1,3,0,1,0
