# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:59:59
# label=shake-100hz
# uptime_ms=3551190
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=1
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=100
# i2c_start_ops=40908 i2c_start_fails=12
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3551203,-3912,-810,-6320,-2886,192,-6320,2892.4,176.19,188.41,238,-1613,-7257,848,-545,-447,34.1350109,-118.1457432,0.47,0.00,1.53,16,1,3,0,1,1
3551213,-3912,-810,-6320,-2886,192,-6320,2892.4,176.19,188.41,202,-1565,-7190,953,-566,-508,34.1350109,-118.1457432,0.47,0.00,1.53,16,1,3,0,1,1
3551223,-3912,-810,-6320,-2886,192,-6320,2892.4,176.19,188.41,163,-1597,-7125,1070,-516,-602,34.1350109,-118.1457432,0.47,0.00,1.53,16,1,3,0,1,1
3551233,-3912,-810,-6320,-2886,192,-6320,2892.4,176.19,188.41,133,-1642,-7063,1241,-419,-726,34.1350109,-118.1457432,0.47,0.00,1.53,16,1,3,0,1,1
3551243,-3912,-810,-6320,-2886,192,-6320,2892.4,176.19,188.41,121,-1682,-7009,1401,-297,-1022,34.1350109,-118.1457432,0.47,0.00,1.53,16,1,3,0,1,1
3551253,-3912,-810,-6320,-2886,192,-6320,2892.4,176.19,188.41,134,-1734,-6927,1504,-322,-1101,34.1350109,-118.1457432,0.47,0.00,1.53,16,1,3,0,1,1
3551263,-4040,-775,-6335,-3014,227,-6335,3022.5,175.69,187.91,139,-1740,-6849,1423,-418,-1110,34.1350101,-118.1457434,1.15,0.00,1.53,16,1,3,0,1,1
3551273,-4040,-775,-6335,-3014,227,-6335,3022.5,175.69,187.91,143,-1750,-6813,1199,-419,-1218,34.1350101,-118.1457434,1.15,0.00,1.53,16,1,3,0,1,1
3551283,-4040,-775,-6335,-3014,227,-6335,3022.5,175.69,187.91,155,-1824,-6902,760,-490,-1500,34.1350101,-118.1457434,1.15,0.00,1.53,16,1,3,0,1,1
3551293,-4040,-775,-6335,-3014,227,-6335,3022.5,175.69,187.91,169,-1814,-6975,586,-618,-1545,34.1350101,-118.1457434,1.15,0.00,1.53,16,1,3,0,1,1
