# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-02 00:01:47
# label=flat360
# uptime_ms=3658440
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=51280 i2c_start_fails=20
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3658461,-4390,-1012,-5632,-3364,-10,-5632,3364.0,180.17,192.39,-89,-1490,-8659,0,0,0,34.1343928,-118.1457416,1.01,0.00,1.28,19,1,3,0,1,0
3658561,-4545,-940,-5730,-3519,62,-5730,3519.5,178.99,191.21,195,-2126,-6706,0,0,0,34.1343924,-118.1457419,0.74,0.00,1.28,19,1,3,0,1,0
3658661,-4502,-887,-5810,-3476,115,-5810,3477.9,178.11,190.32,-371,-1715,-7188,0,0,0,34.1343921,-118.1457422,0.50,0.00,1.28,19,1,3,0,1,0
3658761,-4550,-852,-5855,-3524,150,-5855,3527.2,177.56,189.78,60,-2238,-7358,0,0,0,34.1343920,-118.1457431,0.77,0.00,1.28,19,1,3,0,1,0
3658861,-4427,-742,-5907,-3401,260,-5907,3410.9,175.63,187.84,-422,-1512,-7762,0,0,0,34.1343920,-118.1457435,0.95,0.00,1.28,20,1,3,0,1,0
3658961,-4425,-702,-5880,-3399,300,-5880,3412.2,174.96,187.17,-130,-1529,-7073,0,0,0,34.1343917,-118.1457433,0.10,0.00,1.28,19,1,3,0,1,0
3659061,-4432,-660,-5912,-3406,342,-5912,3423.1,174.27,186.48,-292,-1788,-7171,0,0,0,34.1343916,-118.1457426,0.90,0.00,1.28,19,1,3,0,1,0
3659161,-4340,-815,-5972,-3314,187,-5972,3319.3,176.77,188.99,-578,-1236,-7938,0,0,0,34.1343911,-118.1457424,0.56,0.00,1.28,19,1,3,0,1,0
3659261,-4390,-737,-5935,-3364,265,-5935,3374.4,175.50,187.71,-95,-1644,-7374,0,0,0,34.1343909,-118.1457425,0.44,0.00,1.28,19,1,3,0,1,0
3659361,-4302,-780,-6000,-3276,222,-6000,3283.5,176.12,188.34,-690,-1269,-6858,0,0,0,34.1343908,-118.1457427,0.52,0.00,1.28,19,1,3,0,1,0
3659462,-4185,-727,-6097,-3159,275,-6097,3170.9,175.02,187.24,-259,-1148,-7723,0,0,0,34.1343907,-118.1457427,0.17,0.00,1.28,19,1,3,0,1,0
3659561,-4115,-670,-6130,-3089,332,-6130,3106.8,173.87,186.08,-12,-1158,-7591,0,0,0,34.1343907,-118.1457427,0.17,0.00,1.28,19,1,3,0,1,0
3659661,-4132,-755,-6145,-3106,247,-6145,3115.8,175.45,187.67,-223,-844,-7684,0,0,0,34.1343905,-118.1457425,0.39,0.00,1.28,19,1,3,0,1,0
3659761,-4142,-732,-6217,-3116,270,-6217,3127.7,175.05,187.26,-36,-1053,-7438,0,0,0,34.1343903,-118.1457425,0.12,0.00,1.28,19,1,3,0,1,0
3659861,-4077,-717,-6162,-3051,285,-6162,3064.3,174.66,186.88,-120,-863,-7945,0,0,0,34.1343903,-118.1457425,0.02,0.00,1.28,19,1,3,0,1,0
3659961,-4100,-747,-6217,-3074,255,-6217,3084.6,175.26,187.47,-248,-1035,-7619,0,0,0,34.1343900,-118.1457425,0.26,0.00,1.28,19,1,3,0,1,0
3660062,-4105,-640,-6125,-3079,362,-6125,3100.2,173.29,185.51,-201,-1073,-7450,0,0,0,34.1343897,-118.1457426,0.29,0.00,1.28,19,1,3,0,1,0
