# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-02 00:02:07
# label=flat360
# uptime_ms=3678466
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=52254 i2c_start_fails=20
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3678561,-3917,-872,-6400,-2891,130,-6400,2893.9,177.43,189.64,-161,-627,-7631,0,0,0,0,0,0.89,0.00,1.30,18,1,3,0,1,0
3678661,-3862,-832,-6455,-2836,170,-6455,2841.1,176.57,188.79,-350,-570,-7710,0,0,0,0,0,0.89,0.00,1.34,17,1,3,0,1,0
3678761,-3885,-915,-6367,-2859,87,-6367,2860.3,178.26,190.47,-339,-611,-7603,0,0,0,0,0,0.49,0.00,1.32,18,1,3,0,1,0
3678861,-3862,-1002,-6422,-2836,0,-6422,2836.0,180.00,192.22,-274,-572,-7595,0,0,0,0,0,0.55,0.00,1.32,18,1,3,0,1,0
3678961,-3940,-992,-6347,-2914,10,-6347,2914.0,179.80,192.02,-206,-551,-7582,0,0,0,0,0,0.45,0.00,1.32,18,1,3,0,1,0
3679061,-3945,-1165,-6335,-2919,-163,-6335,2923.5,183.20,195.41,-162,-362,-7526,0,0,0,0,0,0.72,0.00,1.32,18,1,3,0,1,0
3679161,-3965,-1215,-6367,-2939,-213,-6367,2946.7,184.15,196.36,-236,-507,-7620,0,0,0,0,0,0.94,0.00,1.32,18,1,3,0,1,0
3679261,-3992,-1302,-6307,-2966,-300,-6307,2981.1,185.78,197.99,-389,-674,-7700,0,0,0,0,0,0.31,0.00,1.32,18,1,3,0,1,0
3679361,-3992,-1440,-6282,-2966,-438,-6282,2998.2,188.40,200.62,-277,-593,-7727,0,0,0,0,0,0.49,0.00,1.32,18,1,3,0,1,0
3679461,-3955,-1512,-6325,-2929,-510,-6325,2973.1,189.88,202.09,-339,-599,-7513,0,0,0,0,0,0.53,0.00,1.32,18,1,3,0,1,0
