# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-02 00:02:25
# label=phone360
# uptime_ms=3696960
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=53151 i2c_start_fails=20
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3697061,-5737,-597,-3582,-4711,405,-3582,4728.4,175.09,187.30,260,-5624,-5321,0,0,0,34.1343961,-118.1457605,0.50,0.00,1.61,16,1,3,0,1,0
3697161,-5775,-592,-3555,-4749,410,-3555,4766.7,175.07,187.28,142,-5395,-5388,0,0,0,34.1343961,-118.1457605,0.48,0.00,1.61,16,1,3,0,1,0
3697261,-5737,-617,-3642,-4711,385,-3642,4726.7,175.33,187.54,-95,-5323,-5239,0,0,0,34.1343965,-118.1457603,0.20,0.00,1.61,16,1,3,0,1,0
3697361,-5722,-665,-3635,-4696,337,-3635,4708.1,175.90,188.11,-130,-5186,-5442,0,0,0,34.1343963,-118.1457603,0.08,0.00,1.61,16,1,3,0,1,0
3697461,-5727,-592,-3680,-4701,410,-3680,4718.8,175.02,187.23,-209,-5245,-5444,0,0,0,34.1343957,-118.1457603,0.33,0.00,1.61,16,1,3,0,1,0
3697561,-5680,-712,-3670,-4654,290,-3670,4663.0,176.43,188.65,-166,-5458,-5419,0,0,0,34.1343953,-118.1457603,1.09,0.00,1.61,16,1,3,0,1,0
3697661,-5702,-552,-3767,-4676,450,-3767,4697.6,174.50,186.72,-281,-5218,-5559,0,0,0,34.1343949,-118.1457601,1.43,0.00,1.61,16,1,3,0,1,0
3697761,-5722,-530,-3750,-4696,472,-3750,4719.7,174.26,186.48,-266,-5253,-5449,0,0,0,34.1343947,-118.1457599,0.70,0.00,1.54,17,1,3,0,1,0
3697861,-5680,-480,-3765,-4654,522,-3765,4683.2,173.60,185.82,-2,-5207,-5434,0,0,0,34.1343944,-118.1457597,0.70,0.00,1.54,16,1,3,0,1,0
3697961,-5657,-437,-3792,-4631,565,-3792,4665.3,173.04,185.26,-110,-5227,-5461,0,0,0,34.1343942,-118.1457589,1.28,0.00,1.41,17,1,3,0,1,0
3698061,-5685,-370,-3777,-4659,632,-3777,4701.7,172.27,184.49,-250,-5254,-5482,0,0,0,34.1343943,-118.1457582,0.18,0.00,1.47,16,1,3,0,1,0
3698161,-5662,-422,-3842,-4636,580,-3842,4672.1,172.87,185.09,-156,-5229,-5350,0,0,0,34.1343951,-118.1457572,1.06,0.00,1.39,17,1,3,0,1,0
3698261,-5632,-390,-3800,-4606,612,-3800,4646.5,172.43,184.65,-399,-5142,-5331,0,0,0,34.1343951,-118.1457562,0.57,0.00,1.39,17,1,3,0,1,0
3698361,-5610,-317,-3867,-4584,685,-3867,4634.9,171.50,183.72,-68,-5232,-5644,0,0,0,34.1343951,-118.1457552,1.03,0.00,1.39,17,1,3,0,1,0
3698461,-5595,-192,-3870,-4569,810,-3870,4640.2,169.95,182.16,-304,-5154,-5581,0,0,0,34.1343952,-118.1457544,1.18,0.00,1.35,18,1,3,0,1,0
3698561,-5577,-177,-3870,-4551,825,-3870,4625.2,169.73,181.94,-268,-5125,-5574,0,0,0,34.1343951,-118.1457534,1.30,163.10,1.35,18,1,3,0,1,0
3698661,-5605,-130,-3880,-4579,872,-3880,4661.3,169.22,181.43,-265,-5136,-5352,0,0,0,34.1343951,-118.1457527,0.45,0.00,1.28,19,1,3,0,1,0
3698761,-5487,-37,-3917,-4461,965,-3917,4564.2,167.79,180.01,-106,-5233,-5286,0,0,0,34.1343952,-118.1457521,0.46,0.00,1.28,19,1,3,0,1,0
3698861,-5587,-22,-3955,-4561,980,-3955,4665.1,167.87,180.09,-369,-5203,-5509,0,0,0,34.1343951,-118.1457516,0.60,0.00,1.28,19,1,3,0,1,0
3698961,-5475,62,-3992,-4449,1064,-3992,4574.5,166.55,178.77,-398,-5156,-5503,0,0,0,34.1343952,-118.1457511,0.45,0.00,1.28,19,1,3,0,1,0
3699061,-5487,125,-4075,-4461,1127,-4075,4601.2,165.82,178.04,-251,-5323,-5600,0,0,0,34.1343952,-118.1457506,0.35,0.00,1.28,19,1,3,0,1,0
3699161,-5437,272,-4085,-4411,1274,-4085,4591.3,163.89,176.11,-213,-5109,-5453,0,0,0,34.1343951,-118.1457506,0.51,0.00,1.28,19,1,3,0,1,0
3699261,-5417,342,-4127,-4391,1344,-4127,4592.1,162.98,175.20,-183,-5063,-5414,0,0,0,34.1343944,-118.1457498,0.22,0.00,1.28,19,1,3,0,1,0
3699361,-5365,342,-4247,-4339,1344,-4247,4542.4,162.79,175.01,-157,-5128,-5292,0,0,0,34.1343937,-118.1457487,0.91,0.00,1.28,19,1,3,0,1,0
3699461,-5235,500,-4275,-4209,1502,-4275,4469.0,160.36,172.58,-149,-5102,-5436,0,0,0,34.1343933,-118.1457480,0.63,0.00,1.28,20,1,3,0,1,0
3699566,-5235,572,-4262,-4209,1574,-4262,4493.7,159.50,171.71,-206,-5171,-5260,0,0,0,34.1343930,-118.1457474,0.31,0.00,1.28,20,1,3,0,1,0
3699661,-5187,607,-4330,-4161,1609,-4330,4461.3,158.86,171.08,-421,-5034,-5339,0,0,0,34.1343928,-118.1457470,0.56,0.00,1.28,20,1,3,0,1,0
3699761,-5102,702,-4462,-4076,1704,-4462,4417.8,157.31,169.53,-173,-5288,-5609,0,0,0,34.1343928,-118.1457466,0.69,0.00,1.28,20,1,3,0,1,0
3699861,-5057,630,-4522,-4031,1632,-4522,4348.8,157.96,170.18,-232,-5328,-5529,0,0,0,34.1343929,-118.1457463,0.35,0.00,1.28,20,1,3,0,1,0
3699961,-5070,702,-4572,-4044,1704,-4572,4388.3,157.15,169.37,-401,-5044,-5453,0,0,0,34.1343930,-118.1457460,0.65,0.00,1.28,20,1,3,0,1,0
