# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-02 00:02:45
# label=phone360
# uptime_ms=3717219
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=54130 i2c_start_fails=20
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3717261,-5732,-760,-3522,-4706,242,-3522,4712.2,177.06,189.27,-361,-5529,-5034,0,0,0,34.1344099,-118.1457181,0.19,0.00,1.28,20,1,3,0,1,0
3717361,-5797,-820,-3387,-4771,182,-3387,4774.5,177.82,190.03,-334,-5665,-5006,0,0,0,34.1344099,-118.1457181,1.23,0.00,1.28,20,1,3,0,1,0
3717461,-5775,-925,-3392,-4749,77,-3392,4749.6,179.07,191.29,-15,-5587,-4846,0,0,0,34.1344098,-118.1457183,0.71,0.00,1.28,20,1,3,0,1,0
3717561,-5820,-1012,-3317,-4794,-10,-3317,4794.0,180.12,192.34,151,-5548,-5622,0,0,0,34.1344098,-118.1457185,0.04,0.00,1.35,19,1,3,0,1,0
3717661,-5797,-1157,-3170,-4771,-155,-3170,4773.5,181.86,194.08,9,-5431,-4569,0,0,0,34.1344098,-118.1457188,0.07,0.00,1.35,19,1,3,0,1,0
3717761,-5835,-1475,-3090,-4809,-473,-3090,4832.2,185.62,197.83,-165,-5705,-4584,0,0,0,34.1344098,-118.1457192,0.78,0.00,1.35,19,1,3,0,1,0
3717861,-5857,-1677,-3095,-4831,-675,-3095,4877.9,187.95,200.17,-552,-5790,-4939,0,0,0,34.1344096,-118.1457195,0.73,0.00,1.35,19,1,3,0,1,0
3717961,-5765,-1952,-3047,-4739,-950,-3047,4833.3,191.34,203.55,-660,-5678,-4990,0,0,0,34.1344095,-118.1457203,0.82,0.00,1.35,19,1,3,0,1,0
3718061,-5702,-2107,-3112,-4676,-1105,-3112,4804.8,193.30,205.51,-592,-5601,-4955,0,0,0,34.1344095,-118.1457200,0.07,0.00,1.35,19,1,3,0,1,0
3718161,-5727,-2285,-3170,-4701,-1283,-3170,4872.9,195.27,207.48,-191,-5964,-5037,0,0,0,34.1344097,-118.1457194,0.68,0.00,1.28,20,1,3,0,1,0
3718261,-5670,-2430,-3202,-4644,-1428,-3202,4858.6,197.09,209.31,-449,-5773,-4666,0,0,0,34.1344098,-118.1457194,0.26,0.00,1.28,20,1,3,0,1,0
3718361,-5662,-2512,-3210,-4636,-1510,-3210,4875.7,198.04,210.26,-308,-6055,-4792,0,0,0,34.1344099,-118.1457195,0.24,0.00,1.28,20,1,3,0,1,0
3718461,-5662,-2570,-3280,-4636,-1568,-3280,4894.0,198.69,210.90,-19,-5725,-4563,0,0,0,34.1344101,-118.1457195,0.48,0.00,1.28,20,1,3,0,1,0
3718561,-5577,-2657,-3345,-4551,-1655,-3345,4842.6,199.98,212.20,-997,-5648,-4756,0,0,0,34.1344101,-118.1457197,0.09,0.00,1.28,20,1,3,0,1,0
3718661,-5520,-2787,-3317,-4494,-1785,-3317,4835.5,201.66,213.88,-193,-5535,-4884,0,0,0,34.1344101,-118.1457201,0.38,0.00,1.28,20,1,3,0,1,0
3718761,-5460,-2830,-3305,-4434,-1828,-3305,4796.0,202.40,214.62,-317,-5952,-4540,0,0,0,34.1344100,-118.1457205,0.12,0.00,1.28,20,1,3,0,1,0
3718861,-5417,-2860,-3392,-4391,-1858,-3392,4767.9,202.94,215.15,-616,-5786,-4855,0,0,0,34.1344104,-118.1457208,0.71,0.00,1.28,20,1,3,0,1,0
3718961,-5465,-2965,-3430,-4439,-1963,-3430,4853.7,203.86,216.07,-119,-5924,-4762,0,0,0,34.1344110,-118.1457212,0.98,0.00,1.28,20,1,3,0,1,0
3719061,-5432,-3042,-3410,-4406,-2040,-3410,4855.4,204.84,217.06,-367,-5684,-4669,0,0,0,34.1344117,-118.1457207,0.67,0.00,1.28,20,1,3,0,1,0
3719161,-5412,-3077,-3365,-4386,-2075,-3365,4852.1,205.32,217.53,-215,-5838,-4670,0,0,0,34.1344120,-118.1457209,0.72,0.00,1.28,20,1,3,0,1,0
3719261,-5362,-3167,-3442,-4336,-2165,-3442,4846.5,206.53,218.75,-230,-5873,-4787,0,0,0,34.1344123,-118.1457209,0.42,0.00,1.28,20,1,3,0,1,0
3719361,-5342,-3285,-3490,-4316,-2283,-3490,4882.6,207.88,220.09,-430,-5947,-4627,0,0,0,34.1344124,-118.1457210,0.30,0.00,1.28,20,1,3,0,1,0
3719461,-5267,-3240,-3540,-4241,-2238,-3540,4795.3,207.82,220.04,-257,-6101,-4554,0,0,0,34.1344126,-118.1457211,0.43,0.00,1.28,20,1,3,0,1,0
3719561,-5220,-3302,-3555,-4194,-2300,-3555,4783.3,208.74,220.96,-125,-6223,-4751,0,0,0,34.1344127,-118.1457213,0.34,0.00,1.28,20,1,3,0,1,0
3719661,-5192,-3400,-3587,-4166,-2398,-3587,4806.9,209.93,222.14,146,-5998,-4393,0,0,0,34.1344130,-118.1457214,0.37,0.00,1.28,20,1,3,0,1,0
3719761,-5062,-3492,-3685,-4036,-2490,-3685,4742.3,211.67,223.89,-222,-5826,-4239,0,0,0,34.1344132,-118.1457216,0.22,0.00,1.28,20,1,3,0,1,0
3719861,-5015,-3627,-3820,-3989,-2625,-3820,4775.2,213.35,225.56,-4,-6214,-4807,0,0,0,34.1344132,-118.1457219,0.26,0.00,1.28,20,1,3,0,1,0
3719961,-4897,-3742,-3940,-3871,-2740,-3940,4742.6,215.29,227.51,-504,-5881,-4614,0,0,0,34.1344132,-118.1457222,0.15,0.00,1.28,20,1,3,0,1,0
3720062,-4790,-3775,-3992,-3764,-2773,-3992,4675.2,216.38,228.60,-27,-5850,-4184,0,0,0,34.1344131,-118.1457224,0.09,0.00,1.28,20,1,3,0,1,0
3720161,-4662,-3800,-4200,-3636,-2798,-4200,4588.0,217.58,229.80,-500,-6124,-4730,0,0,0,34.1344131,-118.1457227,0.46,0.00,1.28,20,1,3,0,1,0
3720261,-4607,-3862,-4257,-3581,-2860,-4257,4582.9,218.61,230.83,-132,-6135,-4627,0,0,0,34.1344126,-118.1457235,0.28,0.00,1.28,20,1,3,0,1,0
3720361,-4582,-3940,-4270,-3556,-2938,-4270,4612.7,219.56,231.78,-298,-5827,-4531,0,0,0,34.1344121,-118.1457241,0.31,0.00,1.28,20,1,3,0,1,0
3720461,-4485,-3897,-4442,-3459,-2895,-4442,4510.6,219.93,232.14,-183,-5941,-4409,0,0,0,34.1344117,-118.1457246,0.12,0.00,1.28,20,1,3,0,1,0
3720561,-4410,-4002,-4447,-3384,-3000,-4447,4522.3,221.56,233.77,-169,-5955,-4548,0,0,0,34.1344112,-118.1457251,0.09,0.00,1.28,20,1,3,0,1,0
3720661,-4312,-4037,-4512,-3286,-3035,-4512,4473.1,222.73,234.94,-102,-5953,-4576,0,0,0,34.1344107,-118.1457258,0.15,0.00,1.28,20,1,3,0,1,0
3720761,-4250,-4012,-4620,-3224,-3010,-4620,4410.7,223.03,235.25,83,-5919,-4511,0,0,0,34.1344104,-118.1457264,0.09,0.00,1.38,19,1,3,0,1,0
3720861,-4175,-4105,-4717,-3149,-3103,-4717,4421.0,224.58,236.79,-119,-5982,-4714,0,0,0,34.1344101,-118.1457270,0.08,0.00,1.38,19,1,3,0,1,0
3720961,-4050,-4105,-4820,-3024,-3103,-4820,4332.8,225.74,237.95,-223,-5905,-4695,0,0,0,34.1344098,-118.1457277,0.14,0.00,1.38,19,1,3,0,1,0
3721061,-4002,-4090,-4935,-2976,-3088,-4935,4288.6,226.06,238.27,133,-5851,-4696,0,0,0,34.1344095,-118.1457284,0.57,0.00,1.38,19,1,3,0,1,0
3721161,-3880,-4037,-5080,-2854,-3035,-5080,4166.1,226.76,238.98,315,-5916,-4938,0,0,0,34.1344092,-118.1457290,0.15,0.00,1.38,19,1,3,0,1,0
3721261,-3842,-4022,-5167,-2816,-3020,-5167,4129.2,227.00,239.22,-135,-6005,-4762,0,0,0,34.1344083,-118.1457303,0.15,0.00,1.38,19,1,3,0,1,0
3721361,-3772,-4110,-5195,-2746,-3108,-5195,4147.3,228.54,240.75,-282,-5746,-4712,0,0,0,34.1344078,-118.1457315,0.33,0.00,1.38,19,1,3,0,1,0
3721461,-3757,-4090,-5312,-2731,-3088,-5312,4122.4,228.51,240.73,449,-6030,-4732,0,0,0,34.1344075,-118.1457324,0.45,0.00,1.38,19,1,3,0,1,0
3721561,-3622,-4022,-5325,-2596,-3020,-5325,3982.4,229.32,241.53,-218,-5928,-4733,0,0,0,34.1344073,-118.1457333,0.44,0.00,1.28,20,1,3,0,1,0
3721661,-3570,-4032,-5452,-2544,-3030,-5452,3956.4,229.98,242.20,-200,-5784,-4979,0,0,0,34.1344074,-118.1457340,0.64,0.00,1.28,20,1,3,0,1,0
3721761,-3580,-3940,-5525,-2554,-2938,-5525,3892.9,229.00,241.22,348,-6077,-4593,0,0,0,34.1344075,-118.1457346,0.67,0.00,1.28,20,1,3,0,1,0
3721861,-3487,-3820,-5600,-2461,-2818,-5600,3741.3,228.87,241.08,-307,-5864,-4561,0,0,0,34.1344077,-118.1457351,0.82,0.00,1.28,20,1,3,0,1,0
3721961,-3505,-3835,-5697,-2479,-2833,-5697,3764.5,228.81,241.03,35,-5945,-4727,0,0,0,34.1344080,-118.1457354,0.41,0.00,1.28,20,1,3,0,1,0
3722061,-3425,-3680,-5725,-2399,-2678,-5725,3595.4,228.15,240.36,-164,-5885,-4538,0,0,0,34.1344083,-118.1457355,0.39,0.00,1.28,20,1,3,0,1,0
3722161,-3392,-3635,-5827,-2366,-2633,-5827,3539.9,228.06,240.27,-44,-6092,-4240,0,0,0,34.1344086,-118.1457349,0.65,0.00,1.28,20,1,3,0,1,0
3722261,-3387,-3592,-5847,-2361,-2590,-5847,3504.6,227.65,239.86,12,-6127,-4337,0,0,0,34.1344090,-118.1457351,0.78,0.00,1.28,20,1,3,0,1,0
3722361,-3430,-3550,-5935,-2404,-2548,-5935,3503.1,226.67,238.88,-63,-6299,-4314,0,0,0,34.1344093,-118.1457354,0.21,0.00,1.28,20,1,3,0,1,0
3722461,-3340,-3492,-5977,-2314,-2490,-5977,3399.2,227.10,239.31,-52,-6024,-4370,0,0,0,34.1344095,-118.1457359,1.13,295.64,1.28,20,1,3,0,1,0
3722561,-3312,-3360,-6082,-2286,-2358,-6082,3284.2,225.89,238.10,92,-6235,-4342,0,0,0,34.1344100,-118.1457357,0.41,0.00,1.28,20,1,3,0,1,0
3722661,-3232,-3317,-6195,-2206,-2315,-6195,3197.8,226.38,238.60,-89,-6322,-4266,0,0,0,34.1344105,-118.1457357,0.57,0.00,1.28,20,1,3,0,1,0
3722761,-3200,-3217,-6260,-2174,-2215,-6260,3103.6,225.54,237.75,-241,-6067,-4026,0,0,0,34.1344109,-118.1457356,1.04,77.73,1.28,20,1,3,0,1,0
3722861,-3187,-3120,-6315,-2161,-2118,-6315,3025.9,224.42,236.64,-58,-6440,-4660,0,0,0,34.1344111,-118.1457362,0.28,0.00,1.28,20,1,3,0,1,0
3722961,-3150,-3052,-6405,-2124,-2050,-6405,2951.9,223.98,236.20,208,-6189,-3954,0,0,0,34.1344111,-118.1457368,0.23,0.00,1.28,20,1,3,0,1,0
3723061,-3077,-2980,-6477,-2051,-1978,-6477,2849.4,223.96,236.18,-50,-6330,-4292,0,0,0,34.1344112,-118.1457373,0.14,0.00,1.28,20,1,3,0,1,0
3723161,-3000,-2887,-6535,-1974,-1885,-6535,2729.5,223.68,235.90,-33,-6370,-4468,0,0,0,34.1344112,-118.1457376,0.24,0.00,1.28,20,1,3,0,1,0
3723261,-2965,-2835,-6617,-1939,-1833,-6617,2668.3,223.39,235.61,-101,-6172,-4133,0,0,0,34.1344111,-118.1457376,0.33,0.00,1.28,20,1,3,0,1,0
3723361,-2905,-2757,-6660,-1879,-1755,-6660,2571.1,223.05,235.26,138,-6179,-4046,0,0,0,34.1344111,-118.1457375,0.15,0.00,1.28,20,1,3,0,1,0
