# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-02 00:03:15
# label=walk-straight
# uptime_ms=3746448
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=55541 i2c_start_fails=20
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3746561,-4127,-925,-6172,-3101,77,-6172,3102.0,178.58,190.79,-115,-1116,-8919,0,0,0,34.1343874,-118.1457299,0.54,0.00,1.22,20,1,3,0,1,0
3746661,-4132,-770,-6227,-3106,232,-6227,3114.7,175.73,187.94,-769,-1300,-7826,0,0,0,34.1343871,-118.1457299,0.83,0.00,1.22,20,1,3,0,1,0
3746761,-4147,-712,-6195,-3121,290,-6195,3134.4,174.69,186.91,-913,-203,-6887,0,0,0,34.1343866,-118.1457299,1.23,163.18,1.22,20,1,3,0,1,0
3746861,-4095,-617,-6280,-3069,385,-6280,3093.1,172.85,185.07,-661,-1532,-6756,0,0,0,34.1343861,-118.1457300,1.09,180.79,1.22,20,1,3,0,1,0
3746961,-4082,-572,-6287,-3056,430,-6287,3086.1,171.99,184.21,59,-1383,-6748,0,0,0,34.1343856,-118.1457302,1.36,184.03,1.22,20,1,3,0,1,0
3747061,-4072,-645,-6247,-3046,357,-6247,3066.8,173.32,185.53,-227,-1681,-7505,0,0,0,34.1343852,-118.1457305,1.07,174.52,1.22,20,1,3,0,1,0
3747161,-4100,-602,-6232,-3074,400,-6232,3099.9,172.59,184.80,-352,-2828,-8772,0,0,0,34.1343848,-118.1457306,1.39,170.88,1.22,20,1,3,0,1,0
3747261,-4015,-540,-6280,-2989,462,-6280,3024.5,171.21,183.43,535,-812,-9409,0,0,0,34.1343838,-118.1457304,1.80,166.86,1.22,20,1,3,0,1,0
3747361,-4127,-842,-6217,-3101,160,-6217,3105.1,177.05,189.26,-53,155,-6513,0,0,0,34.1343829,-118.1457303,1.47,176.23,1.22,20,1,3,0,1,0
3747461,-4202,-727,-6212,-3176,275,-6212,3187.9,175.05,187.27,-358,-1366,-6831,0,0,0,34.1343818,-118.1457303,2.02,193.23,1.22,20,1,3,0,1,0
3747561,-4240,-692,-6135,-3214,310,-6135,3228.9,174.49,186.71,312,-1077,-6020,0,0,0,34.1343803,-118.1457299,2.17,186.10,1.22,20,1,3,0,1,0
3747661,-4227,-785,-6172,-3201,217,-6172,3208.3,176.12,188.34,-186,-2090,-7706,0,0,0,34.1343793,-118.1457298,1.45,178.50,1.22,20,1,3,0,1,0
3747761,-4227,-620,-6185,-3201,382,-6185,3223.7,173.19,185.41,714,-3661,-9229,0,0,0,34.1343782,-118.1457299,1.38,165.14,1.22,20,1,3,0,1,0
3747861,-4222,-660,-6190,-3196,342,-6190,3214.2,173.89,186.11,-590,-707,-6919,0,0,0,34.1343770,-118.1457300,1.83,168.47,1.22,20,1,3,0,1,0
3747961,-4202,-742,-6205,-3176,260,-6205,3186.6,175.32,187.54,-200,762,-6759,0,0,0,34.1343756,-118.1457301,2.37,176.80,1.22,20,1,3,0,1,0
3748061,-4152,-530,-6205,-3126,472,-6205,3161.4,171.41,183.63,856,-1573,-5814,0,0,0,34.1343743,-118.1457303,2.39,184.36,1.22,20,1,3,0,1,0
3748161,-4270,-530,-6167,-3244,472,-6167,3278.2,171.72,183.94,-450,-1274,-6639,0,0,0,34.1343731,-118.1457306,2.05,184.21,1.22,20,1,3,0,1,0
3748261,-4162,-702,-6260,-3136,300,-6260,3150.3,174.54,186.75,-481,-2405,-9873,0,0,0,34.1343718,-118.1457308,2.04,180.40,1.22,21,1,3,0,1,0
3748361,-4142,-727,-6302,-3116,275,-6302,3128.1,174.96,187.17,1446,163,-10324,0,0,0,34.1343709,-118.1457309,1.51,172.45,1.22,21,1,3,0,1,0
3748461,-4255,-795,-6250,-3229,207,-6250,3235.6,176.33,188.55,435,-1044,-5145,0,0,0,34.1343699,-118.1457311,1.53,179.44,1.22,21,1,3,0,1,0
