# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-02 00:03:46
# label=walk-straight
# uptime_ms=3778132
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=57066 i2c_start_fails=20
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
3778161,-5562,-485,-3365,-4536,517,-3365,4565.4,173.50,185.71,-125,-5593,-4724,0,0,0,0,0,0.56,0.00,1.36,19,1,3,0,1,0
3778261,-5717,-545,-3387,-4691,457,-3387,4713.2,174.44,186.65,87,-5529,-4819,0,0,0,0,0,0.39,0.00,1.36,19,1,3,0,1,0
3778362,-5717,-620,-3507,-4691,382,-3507,4706.5,175.34,187.56,245,-5552,-4978,0,0,0,0,0,0.31,0.00,1.36,19,1,3,0,1,0
3778461,-5722,-577,-3540,-4696,425,-3540,4715.2,174.83,187.04,283,-5544,-4855,0,0,0,0,0,0.04,0.00,1.36,19,1,3,0,1,0
3778561,-5665,-635,-3610,-4639,367,-3610,4653.5,175.48,187.69,467,-6380,-4818,0,0,0,0,0,0.55,0.00,1.36,19,1,3,0,1,0
3778661,-5745,-687,-3772,-4719,315,-3772,4729.5,176.18,188.40,-14,-5743,-4638,0,0,0,0,0,0.43,0.00,1.36,19,1,3,0,1,0
3778761,-5657,-582,-3760,-4631,420,-3760,4650.0,174.82,187.03,-134,-5596,-4229,0,0,0,0,0,0.72,0.00,1.36,19,1,3,0,1,0
3778861,-5610,-697,-3955,-4584,305,-3955,4594.1,176.19,188.41,282,-6825,-6796,0,0,0,0,0,1.05,0.00,1.36,19,1,3,0,1,0
3778961,-5590,-635,-4015,-4564,367,-4015,4578.7,175.40,187.62,83,-6835,-5938,0,0,0,0,0,1.65,180.21,1.36,19,1,3,0,1,0
3779061,-5615,-540,-3875,-4589,462,-3875,4612.2,174.25,186.47,299,-5377,-8709,0,0,0,0,0,1.58,177.01,1.36,19,1,3,0,1,0
3779161,-5700,-562,-3502,-4674,440,-3502,4694.7,174.62,186.84,-692,-4481,-5581,0,0,0,0,0,1.66,182.29,1.36,19,1,3,0,1,0
3779261,-5775,-665,-3177,-4749,337,-3177,4760.9,175.94,188.16,-777,-3859,-1567,0,0,0,0,0,1.95,167.61,1.36,19,1,3,0,1,0
3779361,-5727,-422,-3040,-4701,580,-3040,4736.6,172.97,185.18,210,-5513,-1950,0,0,0,0,0,0.95,159.75,1.36,19,1,3,0,1,0
3779461,-5732,-412,-3107,-4706,590,-3107,4742.8,172.85,185.07,194,-6983,-3768,0,0,0,0,0,0.68,172.63,1.36,19,1,3,0,1,0
3779561,-5712,-452,-3215,-4686,550,-3215,4718.2,173.31,185.52,-307,-8303,-6026,0,0,0,0,0,0.68,0.00,1.36,19,1,3,0,1,0
3779661,-5722,-547,-3202,-4696,455,-3202,4718.0,174.47,186.68,1961,-5591,-7563,0,0,0,0,0,1.44,200.98,1.36,19,1,3,0,1,0
3779761,-5740,-820,-3047,-4714,182,-3047,4717.5,177.79,190.01,-600,-4996,-1744,0,0,0,0,0,1.91,186.36,1.36,19,1,3,0,1,0
3779861,-5792,-955,-3145,-4766,47,-3145,4766.2,179.43,191.65,724,-5140,-4646,0,0,0,0,0,2.41,175.56,1.36,19,1,3,0,1,0
3779961,-5775,-1040,-2997,-4749,-38,-2997,4749.2,180.46,192.67,-862,-5560,-2410,0,0,0,0,0,1.72,182.42,1.36,19,1,3,0,1,0
3780062,-5792,-987,-3080,-4766,15,-3080,4766.0,179.82,192.04,-233,-7879,-6170,0,0,0,0,0,1.92,188.73,1.36,19,1,3,0,1,0
3780161,-5775,-795,-3030,-4749,207,-3030,4753.5,177.50,189.72,350,-7539,-7991,0,0,0,0,0,0.85,202.52,1.36,19,1,3,0,1,0
3780261,-5792,-810,-2977,-4766,192,-2977,4769.9,177.69,189.91,-1894,-5766,-2896,0,0,0,0,0,2.07,191.38,1.36,19,1,3,0,1,0
3780361,-5770,-717,-3105,-4744,285,-3105,4752.6,176.56,188.78,78,-4297,-3342,0,0,0,0,0,2.68,174.78,1.36,19,1,3,0,1,0
3780461,-5760,-582,-3155,-4734,420,-3155,4752.6,174.93,187.15,527,-4802,-4225,0,0,0,0,0,3.13,166.15,1.36,19,1,3,0,1,0
3780561,-5777,-617,-3015,-4751,385,-3015,4766.6,175.37,187.58,139,-6509,-4817,0,0,0,0,0,2.07,168.41,1.36,19,1,3,0,1,0
3780661,-5782,-670,-3040,-4756,332,-3040,4767.6,176.01,188.22,591,-8025,-6557,0,0,0,0,0,1.78,185.43,1.36,19,1,3,0,1,0
3780761,-5850,-795,-2862,-4824,207,-2862,4828.4,177.54,189.76,1170,-5114,-4837,0,0,0,0,0,2.63,193.74,1.36,19,1,3,0,1,0
3780861,-5835,-935,-2835,-4809,67,-2835,4809.5,179.20,191.42,70,-5111,-3214,0,0,0,0,0,2.59,183.85,1.36,19,1,3,0,1,0
3780961,-5792,-1102,-2810,-4766,-100,-2810,4767.0,181.20,193.42,-451,-4524,-931,0,0,0,0,0,2.40,178.50,1.25,20,1,3,0,1,0
3781061,-5850,-1035,-3122,-4824,-33,-3122,4824.1,180.39,192.61,-114,-6579,-1875,0,0,0,0,0,2.66,179.57,1.25,20,1,3,0,1,0
3781161,-5707,-842,-3402,-4681,160,-3402,4683.7,178.04,190.26,76,-7740,-6518,0,0,0,0,0,2.43,190.81,1.25,20,1,3,0,1,0
3781261,-5550,-607,-4075,-4524,395,-4075,4541.2,175.01,187.23,208,-3588,-6450,0,0,0,0,0,2.60,192.35,1.25,20,1,3,0,1,0
3781361,-5032,-905,-5227,-4006,97,-5227,4007.2,178.61,190.83,-893,-293,-8401,0,0,0,0,0,3.20,186.24,1.25,20,1,3,0,1,0
3781461,-5052,-680,-5080,-4026,322,-5080,4038.9,175.43,187.64,415,-3662,-6851,0,0,0,0,0,3.12,178.66,1.25,20,1,3,0,1,0
3781561,-5272,-427,-4702,-4246,575,-4702,4284.8,172.29,184.50,783,-3584,-5299,0,0,0,0,0,1.79,173.01,1.25,20,1,3,0,1,0
3781661,-5357,-442,-4490,-4331,560,-4490,4367.1,172.63,184.85,879,-5452,-7467,0,0,0,0,0,1.60,174.39,1.25,20,1,3,0,1,0
3781761,-5352,-495,-4410,-4326,507,-4410,4355.6,173.32,185.53,1441,-4583,-11014,0,0,0,0,0,2.32,176.97,1.25,20,1,3,0,1,0
3781861,-5465,-712,-4275,-4439,290,-4275,4448.5,176.26,188.48,237,-4713,-3471,0,0,0,0,0,2.49,177.10,1.25,20,1,3,0,1,0
