# cc-radar tilt bench (WP-6, docs/compass_tilt_bench.md)
# firmware=v26.08.01 build=1785643563
# rtc=2026-08-02 04:08:12
# compass_cal_x=-948 compass_cal_y=-940 compass_cal_z=-2394 calibrated=1
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192
pose,ms,ax_g,ay_g,az_g,cx,cy,cz,heading_deg
flat,2843,-0.0070,-0.0330,-0.9661,-22,2767,-3963,90.5
nose-up,10132,-0.0060,-0.9354,-0.1346,-3697,2732,-858,143.5
nose-down,15596,0.0269,1.0552,0.0332,4143,2855,-291,34.6
left-edge-down,19626,1.0294,0.0206,0.0680,373,3827,2881,84.4
right-edge-down,23068,-0.9652,0.0112,0.0417,228,-4057,-2898,273.2
flat-repeat,26777,0.0154,0.0150,-0.9320,158,2800,-3968,86.8
flat,35364,0.0099,-0.0114,-0.9318,111,2795,-4011,87.7
nose-up,38679,-0.0111,-0.9309,-0.0806,-3799,2602,-668,145.6
nose-down,50952,0.0385,1.0194,0.3092,4110,2860,699,34.8
left-edge-down,54687,1.0332,0.0892,0.0165,453,4017,2676,83.6
right-edge-down,58426,-0.9583,0.0671,0.0052,561,-3927,-3028,278.1
flat-repeat,62720,-0.0020,0.1165,-0.9414,646,2710,-4048,76.6
